station_id,first_seen,last_seen,active_days,rent_events,ret_events,name,lat,lon,gu,dong,addr,span_days,activity_ratio,total_events,in_current_list,station_type
ST1166,2024-08-02,2026-03-31,185,200,224,흑석동 흑석네거리(기성보건지소),36.254704,127.341442,서구,흑석동,대전광역시 서구 흑석동 381-1,607,0.3048,424,True,LOW_USE
ST0649,2024-08-11,2026-03-22,160,210,208,가양동 명석고네거리 원한의원 정류장,36.354318,127.454254,동구,가양동,대전광역시 동구 가양동 47-63,589,0.2716,418,True,LOW_USE
ST1446,2025-09-19,2026-03-31,123,204,209,대정동 대전종합유통단지,36.316988,127.319695,유성구,대정동,대전광역시 유성구 대정동 300-1,194,0.634,413,True,ACTIVE
ST0502,2024-08-02,2026-03-29,181,206,201,사정동 한솔빌라,36.294339,127.38943,중구,사정동,대전광역시 중구 사정동 605,605,0.2992,407,False,LOW_USE
ST1465,2025-10-20,2026-03-31,101,204,202,대성동 은어송중학교 후문 건너편,36.300045,127.459457,동구,대성동,대전광역시 동구 대성동 138,163,0.6196,406,True,ACTIVE
ST1442,2025-08-30,2026-03-31,81,207,197,화암동 한국천문연구원 정류장 (국가정보자원관리원 방면),36.400046,127.373961,유성구,화암동,대전광역시 유성구 화암동 62-1,214,0.3785,404,True,LOW_USE
ST1251,2024-08-08,2026-03-31,187,210,182,신일동 벤쳐타운 장영실관 앞 버스정류장,36.437429,127.413323,대덕구,신일동,대전광역시 대덕구 신일동 1688-5,601,0.3111,392,True,LOW_USE
ST1453,2025-10-25,2026-03-31,87,197,195,자양동 우송대학교서캠퍼스 정류장(자양동 방면),36.338262,127.444779,동구,자양동,대전광역시 동구 자양동 317-4,158,0.5506,392,True,ACTIVE
ST1326,2024-12-05,2026-03-24,144,198,189,용운동 309,36.322607,127.462694,동구,용운동,대전광역시 동구 용운동 309,475,0.3032,387,True,LOW_USE
ST1512,2025-10-19,2026-03-31,105,194,190,문화동 한밭도서관 후문 정류장(한밭도서관 방면),36.310257,127.411152,중구,문화동,대전광역시 중구 문화동 103-1,164,0.6402,384,True,ACTIVE
ST1454,2025-10-24,2026-03-31,104,192,187,천동 구세군 참사랑교회 건너편,36.311541,127.443934,동구,천동,대전광역시 동구 천동 73-3,159,0.6541,379,True,ACTIVE
ST0611,2024-08-15,2026-03-28,151,187,179,용운동 대전대 입구 용운119안전센터 ,36.33109,127.461373,동구,용운동,대전광역시 동구 용운동 174-18,591,0.2555,366,True,LOW_USE
ST0963,2024-08-01,2026-03-22,183,194,162,송촌동 선비마을 2단지(202동),36.369146,127.440214,대덕구,송촌동,대전광역시 대덕구 송촌동 444,599,0.3055,356,True,LOW_USE
ST1307,2024-08-07,2026-03-27,119,167,180,둔곡동 BRT 정류장,36.467613,127.363846,유성구,둔곡동,대전광역시 유성구 둔곡동 7-14,598,0.199,347,True,LOW_USE
ST0868,2024-08-01,2026-03-15,185,170,166,연축동 그린빌라,36.396413,127.426375,대덕구,연축동,대전광역시 대덕구 연축동 169-1,592,0.3125,336,True,LOW_USE
ST1316,2024-10-16,2026-03-31,148,175,159,용운동 대전대학교(새울방면)  ,36.332378,127.463815,동구,용운동,대전광역시 동구 용운동 510-85,532,0.2782,334,True,LOW_USE
ST0631,2024-11-01,2025-03-04,94,165,168,천동 위드힐 건너편(301동),36.317054,127.443137,동구,천동,천동 164-7,124,0.7581,333,False,CLOSED
ST1137,2024-08-01,2024-09-13,41,161,165,도안동 갑천3블럭 트리풀시티(308동),36.322402,127.348245,서구,도안동,대전광역시 서구 도안동 2353,44,0.9318,326,False,TEMPORARY
ST1508,2025-10-21,2026-03-31,79,163,158,산성동 서남부터미널 종점 정류장(종점 방면),36.310552,127.387241,중구,산성동,대전광역시 중구 산성동 143-9,162,0.4877,321,True,LOW_USE
ST1491,2025-10-19,2026-03-30,100,162,154,오정동 한남대학교 정성균선교관,36.35397,127.423145,대덕구,오정동,대전광역시 대덕구 오정동 133,163,0.6135,316,True,ACTIVE
ST0964,2024-08-04,2026-03-30,136,161,151,송촌동 아이프라자,36.367456,127.437376,대덕구,송촌동,대전광역시 대덕구 송촌동 525,604,0.2252,312,True,LOW_USE
ST0972,2024-08-05,2026-03-29,140,155,155,비래동 금성백조 102동,36.3582,127.4505,대덕구,비래동,대전광역시 대덕구 비래동 541,602,0.2326,310,True,LOW_USE
